UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
colord    1095     1  1098  0    3 18:20 ?        00:00:00 /usr/lib/colord/colord
root      1104   879  1104  0    3 18:20 ?        00:00:00 lightdm --session-child 12 19
root      1104   879  1120  0    3 18:20 ?        00:00:00 lightdm --session-child 12 19
root      1104   879  1121  0    3 18:20 ?        00:00:00 lightdm --session-child 12 19
garychen  1123     1  1123  0    1 18:20 ?        00:00:00 /lib/systemd/systemd --user
garychen  1124  1123  1124  0    1 18:20 ?        00:00:00 (sd-pam)
garychen  1130     1  1130  0    4 18:20 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
garychen  1130     1  1131  0    4 18:20 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
garychen  1130     1  1132  0    4 18:20 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
garychen  1130     1  1382  0    4 18:21 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
garychen  1133  1104  1133  0    1 18:20 ?        00:00:00 /bin/sh /usr/lib/gnome-session/run-systemd-session ubuntu-session.target
garychen  1166  1123  1166  0    1 18:20 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation
garychen  1235  1133  1235  0    1 18:20 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch /usr/lib/gnome-session/run-systemd-session ubuntu-session.target
garychen  1252     1  1252  0    3 18:20 ?        00:00:03 /usr/bin/ibus-daemon --daemonize --xim --address unix:tmpdir=/tmp/ibus
garychen  1252     1  1256  0    3 18:20 ?        00:00:00 /usr/bin/ibus-daemon --daemonize --xim --address unix:tmpdir=/tmp/ibus
garychen  1252     1  1257  0    3 18:20 ?        00:00:07 /usr/bin/ibus-daemon --daemonize --xim --address unix:tmpdir=/tmp/ibus
garychen  1258  1123  1258  0    3 18:20 ?        00:00:00 /usr/lib/gvfs/gvfsd
garychen  1258  1123  1259  0    3 18:20 ?        00:00:00 /usr/lib/gvfs/gvfsd
garychen  1258  1123  1260  0    3 18:20 ?        00:00:00 /usr/lib/gvfs/gvfsd
garychen  1263  1123  1263  0    6 18:20 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
garychen  1263  1123  1269  0    6 18:20 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
garychen  1263  1123  1270  0    6 18:20 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
garychen  1263  1123  1271  0    6 18:20 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
garychen  1263  1123  1272  0    6 18:20 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
garychen  1263  1123  1280  0    6 18:20 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
garychen  1265  1252  1265  0    4 18:20 ?        00:00:00 /usr/lib/ibus/ibus-dconf
garychen  1265  1252  1281  0    4 18:20 ?        00:00:00 /usr/lib/ibus/ibus-dconf
garychen  1265  1252  1282  0    4 18:20 ?        00:00:00 /usr/lib/ibus/ibus-dconf
garychen  1265  1252  1293  0    4 18:20 ?        00:00:00 /usr/lib/ibus/ibus-dconf
garychen  1267  1252  1267  0    4 18:20 ?        00:00:01 /usr/lib/ibus/ibus-ui-gtk3
garychen  1267  1252  1306  0    4 18:20 ?        00:00:00 /usr/lib/ibus/ibus-ui-gtk3
garychen  1267  1252  1307  0    4 18:20 ?        00:00:01 /usr/lib/ibus/ibus-ui-gtk3
garychen  1267  1252  1313  0    4 18:20 ?        00:00:00 /usr/lib/ibus/ibus-ui-gtk3
garychen  1279     1  1279  0    3 18:20 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
garychen  1279     1  1308  0    3 18:20 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
garychen  1279     1  1309  0    3 18:20 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
garychen  1339  1252  1339  0    3 18:20 ?        00:00:00 /usr/lib/ibus/ibus-engine-simple
garychen  1339  1252  1344  0    3 18:20 ?        00:00:00 /usr/lib/ibus/ibus-engine-simple
garychen  1339  1252  1345  0    3 18:20 ?        00:00:02 /usr/lib/ibus/ibus-engine-simple
garychen  1377  1133  1377  0    1 18:21 ?        00:00:00 systemctl --user start --wait ubuntu-session.target
garychen  1392  1123  1392  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
garychen  1392  1123  1398  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
garychen  1392  1123  1407  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
garychen  1392  1123  1428  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
garychen  1394  1123  1394  0    4 18:21 ?        00:00:02 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
garychen  1394  1123  1469  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
garychen  1394  1123  1485  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
garychen  1394  1123  3382  0    4 21:11 ?        00:00:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
garychen  1395  1123  1395  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
garychen  1395  1123  1505  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
garychen  1395  1123  1506  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
garychen  1395  1123  1536  0    4 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
garychen  1408  1123  1408  0    2 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
garychen  1408  1123  1423  0    2 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
garychen  1409  1123  1409  0    3 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
garychen  1409  1123  1486  0    3 18:21 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
